-4.997918959937361016e+00,-8.661455193551578446e+00,0.000000000000000000e+00
-4.788392275177973723e+00,-8.779058989695942117e+00,0.000000000000000000e+00
-4.576101168988486734e+00,-8.891594484120014741e+00,0.000000000000000000e+00
-4.361168223540208722e+00,-8.998996752569849988e+00,0.000000000000000000e+00
-4.143717544012877951e+00,-9.101203835316548307e+00,0.000000000000000000e+00
-3.923874686900402864e+00,-9.198156772820949456e+00,0.000000000000000000e+00
-3.701766587483865667e+00,-9.289799639664261477e+00,0.000000000000000000e+00
-3.477521486513760696e+00,-9.376079576725043552e+00,0.000000000000000000e+00
-3.251268856143878949e+00,-9.456946821584496732e+00,0.000000000000000000e+00
-3.023139325159656110e+00,-9.532354737142682666e+00,0.000000000000000000e+00
-2.793264603544239222e+00,-9.602259838429265670e+00,0.000000000000000000e+00
-2.561777406425807424e+00,-9.666621817593741284e+00,0.000000000000000000e+00
-2.328811377450151987e+00,-9.725403567060954657e+00,0.000000000000000000e+00
-2.094501011622733166e+00,-9.778571200838669597e+00,0.000000000000000000e+00
-1.858981577664763130e+00,-9.826094073965421671e+00,0.000000000000000000e+00
-1.622389039928152643e+00,-9.867944800087343538e+00,0.000000000000000000e+00
-1.384859979914365491e+00,-9.904099267154411024e+00,0.000000000000000000e+00
-1.146531517442471504e+00,-9.934536651227087845e+00,0.000000000000000000e+00
-9.075412315118553952e-01,-9.959239428385798121e+00,0.000000000000000000e+00
-6.680270809052090142e-01,-9.978193384736519178e+00,0.000000000000000000e+00
-4.281273245775745195e-01,-9.991387624507005683e+00,0.000000000000000000e+00
-1.879804418773340646e-01,-9.998814576229278828e+00,0.000000000000000000e+00
5.227494735491570316e-02,-1.000046999700493977e+01,0.000000000000000000e+00
2.925001627635649415e-01,-9.996352974851197004e+00,0.000000000000000000e+00
5.325565434852174151e-01,-9.986465929126488561e+00,0.000000000000000000e+00
7.723055281398855110e-01,-9.970814609035581810e+00,0.000000000000000000e+00
1.011608734760105488e+00,-9.949408090215376532e+00,0.000000000000000000e+00
1.250328040611991209e+00,-9.922258769403486056e+00,0.000000000000000000e+00
1.488325661862288651e+00,-9.889382357192969764e+00,0.000000000000000000e+00
1.725464233045623352e+00,-9.850797868877553043e+00,0.000000000000000000e+00
1.961606886286242135e+00,-9.806527613392816534e+00,0.000000000000000000e+00
2.196617330228689546e+00,-9.756597180360024879e+00,0.000000000000000000e+00
2.430359928632061628e+00,-9.701035425240021937e+00,0.000000000000000000e+00
2.662699778582675147e+00,-9.639874452606216337e+00,0.000000000000000000e+00
2.893502788280192917e+00,-9.573149597546258605e+00,0.000000000000000000e+00
3.122635754352539816e+00,-9.500899405203391268e+00,0.000000000000000000e+00
3.349966438655192835e+00,-9.423165608469394883e+00,0.000000000000000000e+00
3.575363644510739736e+00,-9.339993103842108013e+00,0.000000000000000000e+00
3.798697292344944909e+00,-9.251429925461614800e+00,0.000000000000000000e+00
4.019838494675886054e+00,-9.157527217340238224e+00,0.000000000000000000e+00
4.238659630413131651e+00,-9.058339203802242778e+00,0.000000000000000000e+00
